benchmark	Type	Orig	Prop	Class	logs.Storm.vi-topo	logs.Storm.vi-topo-mecq	logs.Storm.ovi-topo	logs.Storm.rs-topo-mecq-exact	logs.Storm.pi-mono-gmres-topo	logs.Storm.vi2pi-topo-exactlu	logs.Storm.vi2pi-topo-gmres-mono	logs.Storm.vi2lp-topo-mecq-gurobi-4auto	logs.Storm.vi2lp-topo-mecq-soplex-exact	logs.mcsta.ii	logs.mcsta.vi-es	best
airport-mdp.100-100.time_min	mdp	prism	E	mdpgrid	1.677	1.542	1.545	724	1	6.445	1.607	3.489	724	1.5	3.8	1
airport-mdp.130-130.time_min	mdp	prism	E	mdpgrid	4.565	4.289	4.306	724	1	15.945	4.439	7.557	724	3.0	7.5	1
airport-mdp.160-160.time_min	mdp	prism	E	mdpgrid	10.185	9.647	9.728	724	1.472	31.797	9.893	14.864	724	6.5	12.9	1.472
airport-mdp.200-200.time_min	mdp	prism	E	mdpgrid	24.245	23.221	23.468	724	2.403	75.862	23.647	31.775	724	11.9	19.3	2.403
airport-mdp.250-250.time_min	mdp	prism	E	mdpgrid	58.247	57.216	56.491	724	4.297	150.604	56.505	70.762	724	22.5	34.1	4.297
avoid-mdp.20-0.2.goal_max	mdp	prism	P	mdpgridmec	2.963	2.832	5.263	724	7.54	10.44	4.795	4.068	724	1.8	1	1
avoid-mdp.25-0.2.goal_max	mdp	prism	P	mdpgridmec	11.836	11.572	12.074	724	28.627	28.033	12.015	12.68	724	724	1.5	1.5
avoid-mdp.35-0.0.goal_max	mdp	prism	P	mdp	724	724	724	724	724	724	724	724	724	724	724	724
avoid-mdp.35-0.2.goal_max	mdp	prism	P	mdpgridmec	90.641	88.488	89.502	724	204.078	724	85.996	96.741	724	51.9	7.7	7.7
avoid-mdp.40-0.0.goal_max	mdp	prism	P	mdp	724	724	724	724	724	724	724	724	724	724	724	724
avoid-mdp.40-0.2.goal_max	mdp	prism	P	mdpgridmec	149.771	156.96	168.991	724	375.499	724	181.749	183.314	724	94.4	13.3	13.3
bigmec.10000.prob_max	mdp	prism	P	mdpmec	1	1	1	1	15.058	1	1	1	1	1	1.2	1
bigmec.100000.prob_max	mdp	prism	P	mdpmec	43.313	1	1	1	724	1	1	1	1	1	124.7	1
brp-pta.64-12-32-256.Emax	pta	modest	E	ptaqvbs	23.785	25.274	25.986	724	106.196	724	30.838	36.805	724	285.5	15.0	15.0
brp-pta.64-12-32-256.P_1	pta	modest	P	ptaqvbs	175.229	140.991	140.675	724	146.642	724	143.994	141.996	724	26.6	1.6	1.6
consensus-mec.4-2.disagree	mdp	prism	P	mdpmec	1	6.648	8.344	22.408	724	8.112	8.071	7.179	115.087	724	1.1	1
consensus-mec.4-6.disagree	mdp	prism	P	mdpmec	8.455	63.724	81.202	724	724	86.988	111.954	70.097	376.559	724	22.6	8.455
consensus-mec.4-8.disagree	mdp	prism	P	mdpmec	14.833	115.994	126.784	724	724	126.259	338.226	117.111	724	724	51.0	14.833
consensus-mec.6-2.disagree	mdp	prism	P	mdpmec	163.516	724	724	724	724	724	724	724	724	129.0	195.7	129.0
consensus.6-2.c2	mdp	prism	P	mdpqvbs	1.723	1.587	2.917	724	7.849	4.905	2.93	4.609	724	724	11.5	1.587
consensus.6-2.disagree	mdp	prism	P	mdpqvbs	5.587	6.122	6.971	724	491.704	11.738	12.609	13.617	724	724	14.1	5.587
consensus.6-2.steps_max	mdp	prism	E	mdpqvbs	6.954	6.171	11.478	20.91	724	29.05	33.345	113.304	724	81.2	21.2	6.171
consensus.6-2.steps_min	mdp	prism	E	mdpqvbs	5.235	5.225	8.067	16.738	724	23.326	36.477	116.368	724	44.5	10.4	5.225
dpm.6-4-5.TminQueuesFull	ma	modest	E	maqvbs	3.274	1.613	2.31	724	126.201	724	3.788	724	724	5.2	1	1
dpm.6-6-5.TminQueuesFull	ma	modest	E	maqvbs	41.349	16.074	25.145	724	724	724	57.508	724	724	52.5	8.0	8.0
dpm.6-8-5.TminQueuesFull	ma	modest	E	maqvbs	221.157	82.323	115.204	724	724	724	724	724	724	724	724	82.323
echoring.100.MaxOffline1	mdp	modest	P	mdpqvbs	1.857	2.105	2.123	13.127	2.638	13.123	2.038	2.125	13.535	1.1	1	1
echoring.100.MaxOffline2	mdp	modest	P	mdpqvbs	1.822	2.021	2.088	13.398	2.56	13.39	2.058	2.093	13.268	1.1	1	1
echoring.100.MaxOffline3	mdp	modest	P	mdpqvbs	1.946	2.236	2.23	13.156	2.577	14.635	2.187	2.949	14.981	1.1	1	1
echoring.100.MinFailed	mdp	modest	P	mdpqvbs	1.802	1.548	1.882	13.868	1.553	14.973	1.661	1.653	13.087	1.4	1	1
echoring.100.MinOffline1	mdp	modest	P	mdpqvbs	1.624	1.515	1.637	12.543	1.578	12.461	1.627	1.557	12.424	1.6	1	1
echoring.100.MinOffline2	mdp	modest	P	mdpqvbs	1.481	1.611	1.518	12.555	1.492	12.554	1.489	1.767	13.809	1.4	1	1
echoring.100.MinOffline3	mdp	modest	P	mdpqvbs	1.534	1.508	1.544	12.511	1.501	12.488	1.522	1.562	13.025	1.5	1	1
evade-mdp.10-0.7.prob_max	mdp	prism	P	mdpgridmec	61.694	17.473	95.214	724	62.099	724	26.691	724	724	6.7	70.0	6.7
evade-mdp.12-0.7.prob_max	mdp	prism	P	mdpgridmec	188.479	54.919	512	724	303.55	724	125.811	724	724	18.0	230.5	18.0
evade-mdp.6-0.7.prob_max	mdp	prism	P	mdpgridmec	1.919	1	1	724	21.314	724	1	512	724	1	3.7	1
evade-mdp.8-0.7.prob_max	mdp	prism	P	mdpgridmec	13.419	3.62	11.253	724	99.84	724	6.21	724	724	9.0	19.4	3.62
firewire.true-3-400.time_max	mdp	prism	E	mdpqvbs	1	1	1	1	1.019	1	1	1	1.105	5.3	1	1
firewire.true-3-400.time_sending	mdp	prism	E	mdpqvbs	1	1	1	1	1.363	1	1	1	1	4.8	1	1
firewire.true-3-600.time_max	mdp	prism	E	mdpqvbs	1	1	1	2.081	3.408	2.066	1	1	2.125	19.4	1	1
firewire.true-3-600.time_sending	mdp	prism	E	mdpqvbs	1	1	1	2.287	2.918	2.326	1	1	2.047	17.5	1	1
firewire.true-3-800.time_max	mdp	prism	E	mdpqvbs	1.001	1	1.012	4.668	5.537	3.83	1	1	3.848	40.1	1.5	1
firewire.true-3-800.time_sending	mdp	prism	E	mdpqvbs	1	1.015	1.022	4.331	13.96	4.355	1	1	4.408	37.1	1.7	1
firewire.true-36-200.time_max	mdp	prism	E	mdpqvbs	4.682	3.822	5.085	23.594	49.744	23.601	4.579	6.434	89.526	236.3	9.2	3.822
firewire.true-36-200.time_min	mdp	prism	E	mdpqvbs	10.489	4.935	6.079	28.601	16.821	26.77	6.775	11.304	724	10.2	4.8	4.8
firewire.true-36-200.time_sending	mdp	prism	E	mdpqvbs	4.437	4.084	4.663	25.314	17.541	24.733	5.235	12.456	300.736	179.0	9.5	4.084
flexible-manufacturing.21-1.M3Fail_E	ma	greatspn	E	maqvbs	2.015	1.344	2.009	724	2.198	724	2.863	724	724	7.2	1	1
flexible-manufacturing.3-1.M2Fail_E	ma	greatspn	E	maqvbs	724	724	160.68	724	1	65.398	2.586	1	5.536	724	724	1
flexible-manufacturing.9-1.M2Fail_E	ma	greatspn	E	maqvbs	512	84.855	512	724	1	724	102.459	512	724	724	57.7	1
ftwc.4-5.TimeMax	ma	modest	E	maqvbs	724	724	1	724	1	3.954	1	1	1	21.4	724	1
ftwc.4-5.TimeMin	ma	modest	E	maqvbs	724	724	1	724	1	19.63	1	1	1	19.8	724	1
ftwc.8-5.TimeMax	ma	modest	E	maqvbs	724	724	6.498	724	1	512	1.287	1.551	11.078	215.3	724	1
ftwc.8-5.TimeMin	ma	modest	E	maqvbs	724	724	5.534	724	1	724	1.007	1	17.166	159.9	724	1
intercept-mdp.20-0.0.time_min	mdp	prism	E	mdpgrid	1	1	1	724	1.328	3.445	1.008	71.302	724	724	1	1
intercept-mdp.30-0.0.time_min	mdp	prism	E	mdpgrid	11.175	11.275	10.841	724	16.204	51.181	11.479	724	724	724	9.3	9.3
intercept-mdp.40-0.0.time_min	mdp	prism	E	mdpgrid	58.945	47.013	50.424	724	74.966	283.276	56.208	724	724	724	51.2	47.013
intercept-mdp.50-0.0.time_min	mdp	prism	E	mdpgrid	176.656	201.039	173.887	724	248.269	724	187.142	724	724	724	182.5	173.887
manymecs.10000.prob_max	mdp	prism	P	mdpmec	724	1	1	1	1	1	1	1	1	1	8.3	1
manymecs.100000.prob_max	mdp	prism	P	mdpmec	724	74.088	87.751	88.424	27.499	74.371	74.161	74.18	74.455	1	724	1
mer.1000-0.1.prob_max	mdp	prism	P	mdpmec	19.626	724	724	724	10.204	724	724	724	724	1	1	1
mer.1500-0.1.prob_max	mdp	prism	P	mdpmec	43.432	724	724	724	27.401	724	724	724	724	1	1	1
mer.3000-0.1.prob_max	mdp	prism	P	mdpmec	239.905	724	724	724	80.309	724	724	724	724	1.6	1.7	1.6
mer.500-0.1.prob_max	mdp	prism	P	mdpmec	5.83	512	512	724	2.972	512	512	512	512	1	1	1
obstacle-mdp.1200.steps_min	mdp	prism	E	mdpgrid	22.554	41.359	45.486	724	724	115.388	326.756	724	724	90.3	68.1	22.554
obstacle-mdp.1600.steps_min	mdp	prism	E	mdpgrid	56.478	107.26	103.535	724	724	281.408	512	724	724	218.4	160.6	56.478
obstacle-mdp.2000.steps_min	mdp	prism	E	mdpgrid	105.054	194.916	190.572	724	724	724	724	724	724	424.2	323.9	105.054
obstacle-mdp.400.steps_min	mdp	prism	E	mdpgrid	1	1.125	1.38	724	724	4.482	10.917	46.893	724	3.2	2.1	1
obstacle-mdp.800.steps_min	mdp	prism	E	mdpgrid	6.937	12.725	12.602	724	724	34.428	96.3	512	724	26.5	19.5	6.937
polling-system.3-3-5.TmaxBothFull	ma	modest	E	maqvbs	724	724	724	724	1	11.533	11.501	11.639	12.161	724	724	1
random-grid.140-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	20.015	4.987	5.068	23.719	724	23.112	6.902	7.477	724	3.5	28.3	3.5
random-grid.140-0.3-0.3.time_min	mdp	prism	E	mdpgrid	43.317	34.403	45.67	724	724	724	173.081	724	724	99.0	45.8	34.403
random-grid.180-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	49.261	10.754	10.781	724	724	724	12.921	12.008	724	8.8	74.1	8.8
random-grid.180-0.3-0.3.time_min	mdp	prism	E	mdpgrid	117.419	93.632	111.403	724	724	724	512	724	724	271.4	127.7	93.632
random-grid.200-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	72.804	14.88	16.952	724	724	724	16.281	16.871	724	13.2	114.0	13.2
random-grid.200-0.3-0.3.time_min	mdp	prism	E	mdpgrid	161.522	146.212	167.754	724	724	724	512	724	724	724	724	146.212
random-grid.80-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	3.092	1	1	3.931	468.854	3.864	1	1.002	27.957	1	3.6	1
random-grid.80-0.3-0.3.time_min	mdp	prism	E	mdpgrid	4.872	3.803	4.878	724	724	16.947	20.74	512	724	10.3	4.8	3.803
readers-writers.20.exp_time_many_requests	ma	greatspn	E	maqvbs	1	1	1	724	1	724	1	161.665	724	6.2	1	1
readers-writers.20.pr_network	ma	greatspn	P	maqvbs	1	1	1	724	1	724	1	1.118	724	1	1	1
readers-writers.35.exp_time_many_requests	ma	greatspn	E	maqvbs	2.946	1.771	2.111	724	4.262	724	4.25	724	724	15.6	1.4	1.4
