benchmark	Type	Orig	Prop	Class	logs.Storm.vi-mono	logs.Storm.vi-mono-mecq	logs.Storm.vi-topo	logs.Storm.vi-topo-mecq	logs.Storm.ovi-mono	logs.Storm.ovi-topo	logs.Storm.svi-mono	logs.Storm.svi-topo	logs.Storm.ii-mono	logs.Storm.ii-topo	logs.Storm.rs-topo-mecq-exact	logs.Storm.rs-mono-mecq-exact	logs.Storm.pi-mono-gmres	logs.Storm.pi-mono-gmres-diagprecond	logs.Storm.pi-mono-gmres-noprecond	logs.Storm.pi-mono-gmres-bicgstab	logs.Storm.pi-mono-gmres-qmr	logs.Storm.pi-mono-gmres-topo	logs.Storm.pi-topo-gmres	logs.Storm.pi-topo-gmres-mono	logs.Storm.pi-mono-exactlu	logs.Storm.pi-mono-exactlu-topo	logs.Storm.pi-topo-exactlu	logs.Storm.pi-topo-exactlu-mono	logs.Storm.pi-mono-lu	logs.Storm.pi-topo-lu	logs.Storm.pi-mono-ovi	logs.Storm.pi-topo-ovi	logs.Storm.pi-mono-vi	logs.Storm.pi-topo-vi	logs.Storm.vi2pi-mono-gmres	logs.Storm.vi2pi-mono-exactlu	logs.Storm.vi2pi-topo-gmres	logs.Storm.vi2pi-topo-exactlu	logs.Storm.vi2pi-topo-gmres-mono	logs.Storm.vi2pi-topo-exactlu-mono	logs.Storm.vi2pi-mono-exactlu-topo	logs.Storm.lp-mono-gurobi	logs.Storm.lp-mono-gurobi-4auto	logs.Storm.lp-mono-gurobi-4barrier	logs.Storm.lp-mono-gurobi-4dualsimpl	logs.Storm.lp-mono-gurobi-4primalsimpl	logs.Storm.lp-gurobi-8auto	logs.Storm.lp-gurobi-16auto	logs.Storm.lp-gurobi95-1auto	logs.Storm.lp-gurobi95-4auto	logs.Storm.lp-gurobi95-8auto	logs.Storm.lp-gurobi95-16auto	logs.Storm.lp-mono-gurobi-4autoeq	logs.Storm.lp-mono-gurobi-4autoinit	logs.Storm.lp-mono-gurobi-4autobnds	logs.Storm.lp-mono-gurobi-4autoinitbnds	logs.Storm.lp-topo-gurobi-4auto	logs.Storm.lp-topo-gurobi-4autoeq	logs.Storm.lp-topo-gurobi-4autoinit	logs.Storm.lp-topo-gurobi-4autobnds	logs.Storm.lp-topo-gurobi-4autoinitbnds	logs.Storm.lp-topo-gurobi	logs.Storm.lp-topo-mecq-gurobi	logs.Storm.lp-topo-mecq-gurobi-4auto	logs.Storm.lp-mono-mecq-gurobi-4auto	logs.Storm.vi2lp-topo-gurobi	logs.Storm.vi2lp-mono-gurobi	logs.Storm.vi2lp-topo-gurobi-4auto	logs.Storm.vi2lp-topo-mecq-gurobi-4auto	logs.Storm.vi2lp-mono-gurobi-4auto	logs.Storm.vi2lp-mono-mecq-gurobi-4auto	logs.Storm.lp-mono-soplex-exact	logs.Storm.lp-mono-soplex	logs.Storm.lp-mono-glpk	logs.Storm.lp-mono-z3-exact	logs.Storm.vi2lp-mono-soplex-exact	logs.Storm.lp-topo-soplex-exact	logs.Storm.lp-topo-soplex	logs.Storm.lp-topo-glpk	logs.Storm.lp-topo-z3-exact	logs.Storm.vi2lp-topo-soplex-exact	logs.Storm.vi2lp-topo-mecq-soplex-exact	logs.Storm.vi-mono-bisim-sylvan1	logs.Storm.vi2pi-topo-exactlu-bisim-sylvan1	logs.Storm.vi-mono-bfs	logs.Storm.vi-mono-reversebfs	logs.Storm.vi-mono-rnd	logs.Storm.pi-mono-bfs	logs.Storm.pi-mono-reversebfs	logs.Storm.pi-mono-rnd	logs.Storm.lp-mono-bfs	logs.Storm.lp-mono-reversebfs	logs.Storm.lp-mono-rnd	logs.mcsta.vi	logs.mcsta.ovi	logs.mcsta.svi	logs.mcsta.ii	logs.mcsta.lp-copt-mono	logs.mcsta.lp-copt-topo	logs.mcsta.lp-cplex-mono	logs.mcsta.lp-cplex-topo	logs.mcsta.lp-glop-mono	logs.mcsta.lp-glop-topo	logs.mcsta.lp-gurobi-mono	logs.mcsta.lp-gurobi-topo	logs.mcsta.lp-highs-mono	logs.mcsta.lp-highs-topo	logs.mcsta.lp-lpsolve-mono	logs.mcsta.lp-lpsolve-topo	logs.mcsta.lp-mosek-mono	logs.mcsta.lp-mosek-topo	logs.mcsta.vi-p0	logs.mcsta.vi-p1	logs.mcsta.vi-p01	logs.mcsta.vi-es	logs.mcsta.vi-es-p01	logs.mcsta.vi-mecq	logs.mcsta.ovi-mecq	best
airport-mdp.130-130.time_min	mdp	prism	E	mdpgrid	5.481	4.574	4.993	4.833	7.497	4.838	1.389	4.868	1.302	5.076	724	724	10.699	26.743	26.407	7.538	724	1	4.547	5.016	724	34.404	16.047	26.363	6.514	4.67	14.823	4.663	5.774	4.652	12.271	492.626	5.345	18.395	5.264	23.979	22.397	724	179.244	136.792	724	724	89.69	63.478	724	152.327	88.702	57.152	184.81	724	724	724	7.043	6.852	6.862	7.36	7.604	7.25	8.27	7.362	161.707	6.823	9.374	7.272	7.949	9.255	12.832	724	724	724	724	724	57.823	11.315	6.838	724	724	724	45.066	19.311	5.653	5.728	13.506	1	2.752	5.8716	170.815	183.101	275.82980000000003	8.0	12.3	2.0	3.6	724	22.4	724	2.9	724	3.5	293.7	3.4	724	3.6	724	5.8	75.1	724	8.4	8.4	7.4	7.9	7.9	9.8	16.0	1
airport-mdp.250-250.time_min	mdp	prism	E	mdpgrid	29.745	20.812	91.03	69.828	34.598	89.199	10.323	62.037	8.001	63.001	724	724	82.261	168.556	170.488	44.229	724	4.342	58.197	66.366	724	300.845	154.478	199.026	35.086	57.956	67.646	60.487	24.735	63.142	69.904	724	67.807	225.813	70.555	269.387	127.97	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	86.188	74.848	75.068	78.748	69.341	106.488	73.043	103.679	724	81.578	41.264	78.91	84.165	49.04	52.515	724	724	724	724	724	466.285	101.163	81.656	724	724	724	326.428	128.528	31.745	25.444	108.92660000000001	4.629	33.856	77.0802	724	724	724	39.3	66.1	16.0	22.9	724	94.3	724	13.5	724	15.0	724	11.1	724	15.0	724	22.2	512	724	37.6	37.4	37.4	41.5	35.3	49.1	56.8	4.342
avoid-mdp.15-0.2.goal_max	mdp	prism	P	mdpgridmec	1	1	1	1	1.557	1.085	3.182	2.852	1	1.889	724	724	2.129	11.007	10.861	1.447	2.537	2.645	2.465	2.021	724	724	724	724	724	724	724	724	724	200.454	1	8.383	2.652	2.31	1	11.58	2.333	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	280.777	15.465	76.369	724	724	724	1.214	724	1.164	724	724	724	724	724	724	724	724	724	724	724	14.3	17.05	1	1	1.2533999999999998	2.816	3.138	4.0966000000000005	724	724	724	1	1	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	1	1	1	1	1	1	1	1
avoid-mdp.15-0.2.time_min	mdp	prism	E	mdpgrid	1	1	1	1	1	1	1	1	1	1	2.862	3.046	724	438.642	409.542	4.107	6.55	724	724	724	724	724	724	724	724	724	724	724	724	724	1	724	2.255	488.153	1	724	512	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	1	1	1	1	1.129	724	724	724	724	724	724	1	1	1	1	724	724	724	724	724	724	724	724	724	724	724	724	724	724	1	1	1	1	1	1	1	1
avoid-mdp.25-0.2.goal_max	mdp	prism	P	mdpgridmec	14.392	13.248	13.076	12.077	11.241	13.178	724	724	12.213	12.556	724	724	23.267	146.809	146.424	19.381	33.82	38.032	45.48	26.496	724	724	724	724	724	724	724	724	724	724	17.903	226.535	72.282	32.034	13.276	291.36	34.281	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	321.612	376.063	724	32.793	31.193	34.841	18.465	30.754	18.003	724	724	724	724	724	724	724	724	724	724	724	198.291	284.301	13.312	14.494	19.5766	33.289	33.094	82.1514	724	724	724	1.7	2.0	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	2.0	8.2	8.0	1.9	7.4	6.7	6.4	1.7
avoid-mdp.25-0.2.time_min	mdp	prism	E	mdpgrid	5.783	2.758	7.141	4.264	3.153	4.868	6.92	8.931	6.716	7.544	23.896	18.419	724	724	724	148.614	724	724	724	724	724	724	724	724	724	724	724	724	724	724	7.27	724	16.888	724	9.298	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	1	1	6.05	10.009	18.2804	724	724	724	724	724	724	1.8	2.4	2.2	6.4	724	724	724	724	724	724	724	724	724	724	724	724	724	724	1.9	1.9	2.0	2.1	2.3	4.0	3.7	1
avoid-mdp.40-0.2.goal_max	mdp	prism	P	mdpgridmec	172.686	145.435	182.5	180.131	145.233	162.491	724	724	155.021	155.567	724	724	309.602	724	724	265.832	326.9	414.821	442.927	381.848	724	724	724	724	724	724	724	724	724	724	152.41	724	183.023	724	223.21	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	188.846	724	184.26	724	724	724	724	724	724	724	724	724	724	724	724	724	154.571	185.541	279.7832	388.279	476.735	724	724	724	724	13.3	14.0	724	93.9	724	724	724	724	724	724	724	724	724	724	724	724	724	724	16.7	105.3	78.7	19.5	87.6	102.2	118.4	13.3
avoid-mdp.40-0.2.time_min	mdp	prism	E	mdpgrid	54.235	24.56	74.975	38.895	24.524	44.498	50.839	91.453	77.233	97.569	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	354.409	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	1	1	68.389	91.606	206.64540000000002	724	724	724	724	724	724	19.3	22.5	22.9	88.9	724	724	724	724	724	724	724	724	724	724	724	724	724	724	24.8	25.7	19.9	724	724	22.2	28.1	1
beb.4-8-7.GaveUp	mdp	modest	P	mdpqvbs	6.161	7.315	6.355	7.302	7.461	7.129	8.135	7.731	7.493	7.748	22.711	724	14.336	724	724	724	14.798	9.236	8.641	10.083	724	27.463	26.733	25.628	131.448	8.103	724	9.743	9.441	9.321	13.359	724	9.179	24.857	8.945	22.957	24.132	15.743	15.537	14.941	14.808	15.61	13.572	16.44	16.18	19.753	24.753	18.519	512	15.796	14.601	14.984	6.556	6.499	6.48	6.365	6.229	7.595	7.173	7.742	16.93	6.655	12.664	6.68	8.073	14.339	16.2	724	724	724	724	724	21.192	5.9	6.155	20.536	20.511	20.849	102.783	95.36200000000001	6.08	8.241	17.7994	10.226	11.145	19.9942	16.611	14.603	33.5572	4.2	4.3	724	724	724	4.0	724	3.4	724	3.5	724	3.5	724	3.5	724	3.5	724	3.5	3.7	7.3	7.1	1	3.7	9.0	8.7	1
beb.4-8-7.LineSeized	mdp	modest	P	mdpqvbs	19.194	21.286	21.048	21.728	22.51	28.9	22.34	22.576	22.916	20.105	42.247	724	29.581	49.217	46.971	31.964	29.026	25.855	23.555	22.091	724	48.943	45.267	45.533	724	22.086	724	24.853	25.892	25.05	26.211	724	22.801	45.743	20.128	41.015	47.353	28.555	27.824	29.508	29.596	30.836	30.967	27.522	34.799	36.852	35.489	35.332	512	30.394	30.297	30.539	20.192	20.459	20.531	20.077	20.028	21.242	20.029	22.202	27.437	20.423	40.829	19.376	22.429	26.192	29.286	724	724	724	724	724	39.449	25.895	22.91	44.448	44.252	41.228	65.419	72.914	21.502	28.233	92.0518	29.37	31.702	106.324	30.063	34.601	101.14880000000001	4.1	4.5	724	724	724	3.9	724	4.0	724	4.9	724	4.3	724	4.3	724	4.2	724	4.3	4.4	8.9	9.4	1	8.1	9.0	9.7	1
